epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60818,0.86725,2.52632,1.32073,0.00333,1,0.13254,0.06432,0.39966,2.87814,0.73057,0.00014,0.00014,0.00014
2,3.70509,0.45703,1.79901,1.10045,0.00333,1,0.1751,0.06589,1.26469,3.04322,1.29344,0.00029703,0.00029703,0.00029703
3,4.68649,0.48285,1.152,1.09866,0.74389,0.6,0.795,0.56178,0.77234,2.36614,1.10142,0.000450892,0.000450892,0.000450892
4,5.69302,0.36165,0.87521,1.01448,0.91611,1,0.995,0.81579,0.58,2.01086,0.85975,0.000601586,0.000601586,0.000601586
5,6.6758,0.36031,0.8499,1.01107,0.00333,1,0.995,0.7976,0.42402,2.45543,0.69442,0.000749112,0.000749112,0.000749112
6,7.77477,0.34891,0.77577,0.99248,0.00333,1,0.13092,0.0849,1.1016,3.06508,1.05266,0.00089347,0.00089347,0.00089347
7,8.85024,0.39139,0.7794,1.02276,0.79018,1,0.895,0.68104,0.97426,2.10043,1.35789,0.00103466,0.00103466,0.00103466
8,9.92336,0.38848,0.74257,1.00254,0.62315,0.66944,0.85333,0.46314,1.4527,2.54834,1.62641,0.00117268,0.00117268,0.00117268
9,11.039,0.39955,0.70954,1.00744,0.81597,1,0.995,0.57453,0.60296,2.08445,0.99657,0.00130754,0.00130754,0.00130754
10,12.1089,0.38143,0.66553,1.00231,1,0.96492,0.995,0.64854,0.88025,2.17508,0.99249,0.00143922,0.00143922,0.00143922
11,13.2248,0.36593,0.61338,0.98289,0.99182,1,0.995,0.73186,0.67189,1.68944,0.92173,0.00156774,0.00156774,0.00156774
12,14.3049,0.37536,0.61936,0.98331,0.68946,1,0.81786,0.76161,0.67754,1.8767,0.64891,0.00169309,0.00169309,0.00169309
13,15.3772,0.42141,0.71227,1.00559,0.93892,1,0.995,0.90429,0.36792,1.67885,0.45843,0.0017624,0.0017624,0.0017624
14,16.4706,0.38485,0.59937,1.01017,0.58498,0.6,0.595,0.56266,0.36585,2.11694,0.58728,0.0017426,0.0017426,0.0017426
