epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3201,0.46411,2.60499,0.97349,0.00333,1,0.995,0.995,0.10455,2.53581,0.80982,0.00014,0.00014,0.00014
2,3.51942,0.29749,1.29916,0.87003,0.92917,1,0.995,0.995,0.24429,1.87241,0.83324,0.00029703,0.00029703,0.00029703
3,4.50866,0.28288,0.77236,0.8468,0.99474,1,0.995,0.995,0.23399,1.24065,0.83787,0.000450892,0.000450892,0.000450892
4,5.51766,0.28475,0.71027,0.83687,0.98965,1,0.995,0.97503,0.22621,1.21476,0.81713,0.000601586,0.000601586,0.000601586
5,6.61484,0.31253,0.72924,0.84694,0.98921,1,0.995,0.94704,0.30566,1.10054,0.84189,0.000749112,0.000749112,0.000749112
6,7.7827,0.28424,0.68768,0.83766,0.99192,1,0.995,0.995,0.25039,1.35421,0.83172,0.00089347,0.00089347,0.00089347
7,8.84434,0.31284,0.68681,0.84676,0.98911,1,0.995,0.995,0.23411,1.06432,0.81925,0.00103466,0.00103466,0.00103466
8,9.91184,0.33604,0.65171,0.85529,0.98433,1,0.995,0.995,0.32973,1.20406,0.86875,0.00117268,0.00117268,0.00117268
9,10.9965,0.32213,0.61955,0.86194,0.89024,0.8,0.92,0.89253,0.3426,1.70821,0.89854,0.00130754,0.00130754,0.00130754
10,12.0489,0.33253,0.6316,0.8655,0.99106,0.8,0.93786,0.66017,0.52166,1.5044,0.95606,0.00143922,0.00143922,0.00143922
11,13.0209,0.29524,0.54693,0.85384,0.99071,1,0.995,0.97103,0.3734,0.77266,0.88786,0.00156774,0.00156774,0.00156774
12,13.9581,0.33607,0.55496,0.85624,0.9887,1,0.995,0.995,0.25846,0.77236,0.85256,0.00169309,0.00169309,0.00169309
13,14.9101,0.33947,0.55368,0.87084,0.98805,1,0.995,0.95913,0.28142,0.80979,0.83286,0.0017624,0.0017624,0.0017624
14,15.8723,0.35445,0.54213,0.86089,0.98244,1,0.995,0.995,0.2432,0.80919,0.83084,0.0017426,0.0017426,0.0017426
15,16.8162,0.30072,0.50007,0.85206,0.99049,1,0.995,0.995,0.2023,0.44422,0.81311,0.0017228,0.0017228,0.0017228
16,17.7877,0.28992,0.46634,0.84406,0.991,1,0.995,0.995,0.19377,0.37913,0.81175,0.001703,0.001703,0.001703
17,18.7882,0.30733,0.47834,0.8607,0.99103,1,0.995,0.995,0.25704,0.38093,0.83018,0.0016832,0.0016832,0.0016832
18,19.739,0.31647,0.46593,0.85304,0.99115,1,0.995,0.96703,0.22185,0.36818,0.81369,0.0016634,0.0016634,0.0016634
19,20.6851,0.29405,0.47245,0.84702,0.99051,1,0.995,0.995,0.25007,0.43776,0.82092,0.0016436,0.0016436,0.0016436
20,21.6337,0.29444,0.45931,0.86458,0.98969,1,0.995,0.995,0.18099,0.39011,0.80887,0.0016238,0.0016238,0.0016238
21,22.5764,0.28059,0.41635,0.86279,0.98796,1,0.995,0.995,0.23698,0.53577,0.83632,0.001604,0.001604,0.001604
22,23.5284,0.26791,0.39554,0.8368,0.98798,1,0.995,0.995,0.2263,0.467,0.82208,0.0015842,0.0015842,0.0015842
23,24.4823,0.27523,0.41438,0.87248,0.99075,1,0.995,0.995,0.18623,0.33253,0.81434,0.0015644,0.0015644,0.0015644
24,25.4377,0.27107,0.37817,0.83504,0.99107,1,0.995,0.995,0.16204,0.29956,0.8039,0.0015446,0.0015446,0.0015446
25,26.4107,0.28895,0.3727,0.83852,0.99157,1,0.995,0.995,0.18648,0.29317,0.80846,0.0015248,0.0015248,0.0015248
26,27.3788,0.27985,0.37913,0.83991,0.99178,1,0.995,0.995,0.21746,0.34784,0.82434,0.001505,0.001505,0.001505
27,28.3221,0.25677,0.35674,0.83282,0.99103,1,0.995,0.995,0.21378,0.33593,0.82128,0.0014852,0.0014852,0.0014852
28,29.2699,0.2532,0.33935,0.83471,0.99124,1,0.995,0.995,0.20198,0.31184,0.81614,0.0014654,0.0014654,0.0014654
29,30.2499,0.2434,0.33276,0.85478,0.99108,1,0.995,0.995,0.22895,0.36806,0.82305,0.0014456,0.0014456,0.0014456
30,31.1932,0.25522,0.33571,0.84181,0.99099,1,0.995,0.97105,0.20868,0.33098,0.81598,0.0014258,0.0014258,0.0014258
31,32.1277,0.26405,0.33163,0.84532,0.99087,1,0.995,0.995,0.16293,0.31583,0.80572,0.001406,0.001406,0.001406
32,33.0932,0.22763,0.30879,0.82794,0.99114,1,0.995,0.995,0.20776,0.29245,0.81309,0.0013862,0.0013862,0.0013862
33,34.0632,0.25435,0.31389,0.83827,0.99121,1,0.995,0.995,0.17081,0.25039,0.81014,0.0013664,0.0013664,0.0013664
34,35.1252,0.22817,0.30664,0.84314,0.99133,1,0.995,0.995,0.12614,0.21461,0.80195,0.0013466,0.0013466,0.0013466
35,36.0763,0.25073,0.31384,0.82386,0.99121,1,0.995,0.995,0.16626,0.25166,0.80107,0.0013268,0.0013268,0.0013268
36,37.0491,0.24094,0.30856,0.85134,0.99131,1,0.995,0.995,0.16431,0.20028,0.80845,0.001307,0.001307,0.001307
37,37.9912,0.22395,0.28359,0.83773,0.99142,1,0.995,0.995,0.16337,0.19707,0.80225,0.0012872,0.0012872,0.0012872
38,38.9537,0.22461,0.28009,0.83629,0.99122,1,0.995,0.995,0.17933,0.19779,0.80725,0.0012674,0.0012674,0.0012674
39,39.9006,0.22543,0.27448,0.82791,0.99132,1,0.995,0.995,0.19285,0.22905,0.81033,0.0012476,0.0012476,0.0012476
40,40.8492,0.25865,0.2987,0.8555,0.99137,1,0.995,0.995,0.1975,0.20743,0.82193,0.0012278,0.0012278,0.0012278
41,41.8076,0.25252,0.30041,0.85289,0.99108,1,0.995,0.995,0.13445,0.21076,0.80442,0.001208,0.001208,0.001208
42,42.7556,0.21984,0.27575,0.81216,0.99102,1,0.995,0.995,0.19605,0.20253,0.81103,0.0011882,0.0011882,0.0011882
43,43.7402,0.24269,0.28669,0.82355,0.99103,1,0.995,0.995,0.14643,0.18401,0.80362,0.0011684,0.0011684,0.0011684
44,44.7862,0.23472,0.27635,0.83651,0.99107,1,0.995,0.995,0.13196,0.18627,0.79856,0.0011486,0.0011486,0.0011486
45,45.746,0.22829,0.27633,0.83118,0.9912,1,0.995,0.995,0.15444,0.2488,0.79412,0.0011288,0.0011288,0.0011288
46,46.7349,0.21754,0.27717,0.84298,0.99129,1,0.995,0.995,0.14227,0.2238,0.80182,0.001109,0.001109,0.001109
47,47.6883,0.21176,0.26397,0.82862,0.99123,1,0.995,0.995,0.12169,0.17041,0.79541,0.0010892,0.0010892,0.0010892
48,48.698,0.21447,0.27117,0.82453,0.99131,1,0.995,0.995,0.13635,0.21814,0.79623,0.0010694,0.0010694,0.0010694
49,49.6871,0.21518,0.26655,0.83191,0.99125,1,0.995,0.995,0.14116,0.2138,0.79911,0.0010496,0.0010496,0.0010496
50,50.6446,0.20586,0.26222,0.82273,0.99138,1,0.995,0.995,0.13912,0.16587,0.79827,0.0010298,0.0010298,0.0010298
51,51.5816,0.20114,0.25321,0.83688,0.99129,1,0.995,0.995,0.14541,0.15868,0.80485,0.00101,0.00101,0.00101
52,52.5764,0.20492,0.24694,0.83633,0.9912,1,0.995,0.995,0.12888,0.17132,0.80088,0.0009902,0.0009902,0.0009902
53,53.5019,0.20808,0.2525,0.82666,0.99146,1,0.995,0.995,0.11057,0.15277,0.79653,0.0009704,0.0009704,0.0009704
54,54.4415,0.18586,0.23353,0.84364,0.99147,1,0.995,0.995,0.11139,0.13764,0.79632,0.0009506,0.0009506,0.0009506
55,55.3874,0.18934,0.23296,0.82565,0.99128,1,0.995,0.995,0.11017,0.11893,0.79713,0.0009308,0.0009308,0.0009308
56,56.3268,0.19011,0.24014,0.83492,0.99135,1,0.995,0.995,0.10072,0.10973,0.7955,0.000911,0.000911,0.000911
57,57.2825,0.1872,0.2245,0.83536,0.9912,1,0.995,0.995,0.12711,0.15834,0.79601,0.0008912,0.0008912,0.0008912
58,58.2612,0.17987,0.21791,0.83417,0.99115,1,0.995,0.995,0.125,0.19089,0.79835,0.0008714,0.0008714,0.0008714
