epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.83227,1.15284,3.04226,3.15146,1.18342,0,0.01528,0.92857,0.21456,0.12642,0.01645,1,0.18751,0.10611,0.9573,2.73224,2.89561,0.99542,0,5.001e-05,5.001e-05,5.001e-05
2,4.40243,1.22662,3.20403,3.21624,1.23343,0,0.01506,0.92857,0.31256,0.2237,0.01622,1,0.45706,0.20801,0.77944,1.75093,2.87148,0.93859,0,0.000115535,0.000115535,0.000115535
3,6.05138,0.76802,1.54539,2.63558,1.03476,0,0.01768,1,0.55714,0.39793,0.01768,1,0.73585,0.43785,0.55751,0.8945,2.74788,0.844,0,0.000179739,0.000179739,0.000179739
4,7.9991,0.69102,1.17312,1.75199,1.01852,0,0.01788,1,0.53222,0.29655,0.01788,1,0.75804,0.37346,0.57705,1.02427,2.75597,0.90152,0,0.000242624,0.000242624,0.000242624
5,9.57438,0.62212,1.12884,1.52326,0.99056,0,0.01768,1,0.5765,0.43192,0.01768,1,0.74709,0.49036,0.53267,1.06866,2.57163,0.85053,0,0.000304187,0.000304187,0.000304187
6,11.0398,0.64411,1.11575,1.32648,0.96764,0,0.0163,1,0.61064,0.50391,0.0163,1,0.75124,0.56219,0.51299,0.96832,2.57312,0.83509,0,0.000364431,0.000364431,0.000364431
7,12.5414,0.66131,1.04943,1.37107,0.96397,0,0.48692,0.85714,0.78664,0.6891,0.5275,0.92857,0.79225,0.67606,0.50599,1.00204,2.30383,0.80136,0,0.000423355,0.000423355,0.000423355
8,13.9562,0.65102,0.9857,1.28925,0.99207,0,0.79257,0.54755,0.83969,0.72956,0.79257,0.54755,0.86235,0.71556,0.52078,1.01953,1.98345,0.78845,0,0.000480958,0.000480958,0.000480958
9,15.3756,0.57593,0.96942,1.2348,0.94442,0,0.80462,0.71429,0.78291,0.67817,0.90568,0.78571,0.89252,0.65839,0.54977,1.0728,1.85532,0.79939,0,0.000537241,0.000537241,0.000537241
10,16.728,0.6457,0.91875,1.2363,0.97424,0,0.78944,0.80436,0.85117,0.62304,0.85904,0.87134,0.91717,0.64877,0.86211,1.34115,1.56184,1.08791,0,0.000592203,0.000592203,0.000592203
11,18.1985,0.55992,0.90619,1.16189,0.95415,0,0.72987,0.78571,0.73684,0.53828,0.7994,0.85714,0.8597,0.59065,0.79708,1.53808,1.67988,1.00398,0,0.000645846,0.000645846,0.000645846
12,20.3803,0.60037,0.91508,1.1234,0.9517,0,0.75412,0.57143,0.72058,0.48126,0.85321,0.64286,0.84366,0.52489,0.76415,2.38452,2.0963,1.01854,0,0.000698168,0.000698168,0.000698168
13,22.3781,0.60871,0.89161,1.04578,0.96514,0,0.8445,0.77652,0.7792,0.50422,0.91896,0.81125,0.88245,0.51804,0.76839,3.33615,1.95789,0.9748,0,0.00074917,0.00074917,0.00074917
14,24.9115,0.55754,0.77814,1.02992,0.92131,0,0.67719,0.85714,0.772,0.47191,0.63002,0.78571,0.72331,0.45916,0.73868,3.58874,2.0479,1.00216,0,0.000798851,0.000798851,0.000798851
15,27.2199,0.65757,0.78964,1.0862,0.9798,0,0.6315,0.64286,0.6218,0.39341,0.61013,0.71429,0.68324,0.3622,0.98479,2.87957,1.98977,1.34708,0,0.000847213,0.000847213,0.000847213
16,29.8914,0.5305,0.79541,0.97551,0.91685,0,0.45552,0.5,0.4779,0.26795,0.52452,0.57143,0.61447,0.23764,0.99968,2.73556,2.19922,1.38958,0,0.000894254,0.000894254,0.000894254
17,32.5532,0.63183,0.92538,1.0176,0.95378,0,0.52691,0.55766,0.50381,0.27214,0.65885,0.69084,0.74888,0.29776,1.18766,2.73739,1.82672,1.72581,0,0.000939975,0.000939975,0.000939975
18,35.3746,0.52272,0.75435,0.91423,0.92684,0,0.53631,0.64286,0.5743,0.36087,0.59841,0.71429,0.59408,0.34845,1.06186,2.06354,1.68345,1.44477,0,0.000984375,0.000984375,0.000984375
19,38.2091,0.62218,0.91336,1.01714,0.98065,0,0.59986,0.64286,0.62316,0.35237,0.59986,0.64286,0.62493,0.36135,1.11184,1.89184,1.78884,1.43137,0,0.00102746,0.00102746,0.00102746
20,41.1246,0.64002,0.92384,1.06118,0.96901,0,0.685,0.77716,0.67453,0.38813,0.685,0.77716,0.70053,0.40157,0.9595,1.75929,1.90406,1.25909,0,0.00106922,0.00106922,0.00106922
21,43.8845,0.61691,0.89205,0.96827,0.94856,0,0.69408,0.64286,0.65089,0.40046,0.69408,0.64286,0.64756,0.36796,0.96548,2.32827,1.62788,1.14109,0,0.00110966,0.00110966,0.00110966
22,46.6643,0.62637,0.92026,0.96651,1.00271,0,0.89545,0.78571,0.79035,0.59988,0.89545,0.78571,0.79035,0.4795,0.76335,2.34941,1.44395,0.96287,0,0.00114877,0.00114877,0.00114877
23,49.7086,0.62517,0.84359,0.96977,0.94105,0,0.77874,0.78571,0.81492,0.53278,0.77874,0.78571,0.78073,0.49225,0.72218,2.44331,1.51723,1.01258,0,0.00118657,0.00118657,0.00118657
24,52.6652,0.56039,0.93595,0.90635,0.92858,0,0.81291,0.64286,0.72266,0.46257,0.81291,0.64286,0.67885,0.38486,0.85448,3.37459,1.61811,1.14603,0,0.00122305,0.00122305,0.00122305
25,55.0571,0.52172,0.77829,0.88542,0.91765,0,0.53382,0.78571,0.54951,0.3201,0.48438,0.71429,0.44527,0.26737,0.95179,3.75574,1.82386,1.34438,0,0.00125821,0.00125821,0.00125821
26,56.9737,0.5275,0.78198,0.90458,0.92865,0,0.50814,0.71429,0.57951,0.33668,0.55895,0.78571,0.66619,0.35307,1.12526,3.43703,1.58689,1.49661,0,0.00125442,0.00125442,0.00125442
27,59.1257,0.60688,0.80036,1.00093,0.95493,0,0.87154,0.64286,0.71919,0.46192,0.97103,0.71429,0.80209,0.45757,1.05225,2.91578,1.46866,1.40296,0,0.00123791,0.00123791,0.00123791
28,60.9894,0.61286,0.82127,0.90487,0.93599,0,0.58394,0.78571,0.75553,0.37214,0.84106,0.5,0.75421,0.42847,1.17277,2.44437,1.72636,1.53615,0,0.00122141,0.00122141,0.00122141
29,62.9227,0.55792,0.77754,0.88833,0.92057,0,0.72123,0.5,0.58651,0.31056,0.67798,0.57143,0.66491,0.35325,1.28271,2.43374,1.84908,1.81162,0,0.00120491,0.00120491,0.00120491
30,65.0324,0.53662,0.81091,0.87983,0.91757,0,0.58174,0.71429,0.61632,0.26619,0.46342,0.57143,0.48995,0.26582,1.11402,2.0079,2.12632,1.63205,0,0.0011884,0.0011884,0.0011884
