epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.65755,1.18562,1.93576,3.08097,1.08648,0,0.01917,0.96842,0.40145,0.29468,0.01917,0.96842,0.3967,0.28033,0.79369,1.48941,2.83313,0.88242,0,0.0002,0.0002,0.0002
2,11.9546,0.98633,1.35568,1.34608,0.93277,0,1,0.16805,0.5284,0.37504,1,0.16805,0.56619,0.41743,0.78784,1.13121,2.56712,0.88904,0,0.000415842,0.000415842,0.000415842
3,16.2408,0.8905,1.22355,1.02778,0.93983,0,0.01917,0.96842,0.25495,0.19957,0.01937,0.97895,0.25461,0.21861,0.72716,1.08943,2.86487,0.91534,0,0.000627328,0.000627328,0.000627328
4,20.5024,0.90482,1.18625,0.97844,0.94233,0,1,0.08002,0.41946,0.28642,1,0.08002,0.38566,0.27797,0.91347,1.1461,2.83405,0.93148,0,0.000834458,0.000834458,0.000834458
5,24.8541,0.91358,1.21932,0.88335,0.93609,0,0.95566,0.22701,0.39587,0.30253,0.91133,0.21649,0.37976,0.31288,0.8214,1.3916,2.76749,0.93641,0,0.00103723,0.00103723,0.00103723
6,29.1716,0.93165,1.24152,0.87549,0.94752,0,0.79246,0.32161,0.58865,0.4475,0.76652,0.31108,0.55966,0.42308,0.80111,1.15452,2.28779,0.90424,0,0.00123565,0.00123565,0.00123565
7,33.3538,0.89669,1.2562,0.82265,0.94841,0,0.73611,0.41108,0.68119,0.48405,0.73611,0.41108,0.65945,0.5143,0.78782,1.00349,1.9532,0.91151,0,0.00142971,0.00142971,0.00142971
8,37.584,0.87244,1.18291,0.78599,0.92735,0,0.79429,0.87368,0.87207,0.59819,0.79429,0.87368,0.87207,0.68433,0.88941,1.04756,1.53626,0.9485,0,0.00161942,0.00161942,0.00161942
9,41.6483,0.84229,1.10149,0.76548,0.9315,0,0.70768,0.71579,0.82927,0.64445,0.70768,0.71579,0.82927,0.65648,0.76162,1.07078,1.34907,0.94459,0,0.00180477,0.00180477,0.00180477
10,45.8512,0.87856,1.20825,0.77854,0.9339,0,0.8762,0.83158,0.93632,0.72701,0.86511,0.82105,0.91517,0.73898,0.77825,1.25065,1.08253,0.92127,0,0.0018218,0.0018218,0.0018218
